Supplier ID,MAXIMO ITEM#,Tag #,Item,Type,Desription
1509113,541463,"BF-01A10 8""",Valve,BALL,"VALVE,BALL, 8"", CL 150, REGULAR, -29 TO 343DEG C (-20DEG F TO 650DEG F), RF FLANGES, LEVER WITH GEAR OPERATOR, ASTM A216-WCB, FLEXIBLE GRAPHITE C/W CORROSION INHIBITOR, NORMAL SERVICE, TOP/SIDE ENTRY/SPLIT BODY, BF-01A10"
1509113,541464,"BF-01A20 10""",Valve,BALL,"VALVE,BALL, 10"", CL 150, FULL, -29 TO 200DEG C (-20DEG F TO 392DEG F), RF FLANGES, LEVER WITH GEAR OPERATOR, ASTM A216-WCB, FLEXIBLE GRAPHITE C/W CORROSION INHIBITOR / PTFE, NORMAL SERVICE, TOP/SIDE ENTRY/SPLIT BODY, BF-01A20"
1509113,541465,"BF-01A20 12""",Valve,BALL,"VALVE,BALL, 12"", CL 150, FULL, -29 TO 200DEG C (-20DEG F TO 392DEG F), RF FLANGES, LEVER WITH GEAR OPERATOR, ASTM A216-WCB, FLEXIBLE GRAPHITE C/W CORROSION INHIBITOR / PTFE, NORMAL SERVICE, TOP/SIDE ENTRY/SPLIT BODY, BF-01A20"
1509113,541466,"BF-01A20 14""",Valve,BALL,"VALVE,BALL, 14"", CL 150, FULL, -29 TO 200DEG C (-20DEG F TO 392DEG F), RF FLANGES, LEVER WITH GEAR OPERATOR, ASTM A216-WCB, FLEXIBLE GRAPHITE C/W CORROSION INHIBITOR / PTFE, NORMAL SERVICE, TOP/SIDE ENTRY/SPLIT BODY, BF-01A20"
1509113,541467,"BF-01A20 18""",Valve,BALL,"VALVE,BALL, 18"", CL 150, FULL, -29 TO 200DEG C (-20DEG F TO 392DEG F), RF FLANGES, LEVER WITH GEAR OPERATOR, ASTM A216-WCB, FLEXIBLE GRAPHITE C/W CORROSION INHIBITOR / PTFE, NORMAL SERVICE, TOP/SIDE ENTRY/SPLIT BODY, BF-01A20"
1509113,541468,"BF-01A20 2""",Valve,BALL,"VALVE,BALL, 2"", CL 150, FULL, -29 TO 200DEG C (-20DEG F TO 392DEG F), RF FLANGES, LEVER, ASTM A216-WCB, FLEXIBLE GRAPHITE C/W CORROSION INHIBITOR / PTFE, NORMAL SERVICE, TOP/SIDE ENTRY/SPLIT BODY, BF-01A20"
1509113,541469,"BF-01A20 20""",Valve,BALL,"VALVE,BALL, 20"", CL 150, FULL, -29 TO 200DEG C (-20DEG F TO 392DEG F), RF FLANGES, LEVER WITH GEAR OPERATOR, ASTM A216-WCB, FLEXIBLE GRAPHITE C/W CORROSION INHIBITOR / PTFE, NORMAL SERVICE, TOP/SIDE ENTRY/SPLIT BODY, BF-01A20"
1509113,541470,"BF-01A20 2-1/2""",Valve,BALL,"VALVE,BALL, 2-1/2"", CL 150, FULL, -29 TO 200DEG C (-20DEG F TO 392DEG F), RF FLANGES, LEVER, ASTM A216-WCB, FLEXIBLE GRAPHITE C/W CORROSION INHIBITOR / PTFE, NORMAL SERVICE, TOP/SIDE ENTRY/SPLIT BODY, BF-01A20"
1509113,541471,"BF-01A20 24""",Valve,BALL,"VALVE,BALL, 24"", CL 150, FULL, -29 TO 200DEG C (-20DEG F TO 392DEG F), RF FLANGES, LEVER WITH GEAR OPERATOR, ASTM A216-WCB, FLEXIBLE GRAPHITE C/W CORROSION INHIBITOR / PTFE, NORMAL SERVICE, TOP/SIDE ENTRY/SPLIT BODY, BF-01A20"
1509113,541472,"BF-01A20 3""",Valve,BALL,"VALVE,BALL, 3"", CL 150, FULL, -29 TO 200DEG C (-20DEG F TO 392DEG F), RF FLANGES, LEVER, ASTM A216-WCB, FLEXIBLE GRAPHITE C/W CORROSION INHIBITOR / PTFE, NORMAL SERVICE, TOP/SIDE ENTRY/SPLIT BODY, BF-01A20"
1509113,541473,"BF-01A20 3-1/2""",Valve,BALL,"VALVE,BALL, 3-1/2"", CL 150, FULL, -29 TO 200DEG C (-20DEG F TO 392DEG F), RF FLANGES, LEVER, ASTM A216-WCB, FLEXIBLE GRAPHITE C/W CORROSION INHIBITOR / PTFE, NORMAL SERVICE, TOP/SIDE ENTRY/SPLIT BODY, BF-01A20"
1509113,541474,"BF-01A20 4""",Valve,BALL,"VALVE,BALL, 4"", CL 150, FULL, -29 TO 200DEG C (-20DEG F TO 392DEG F), RF FLANGES, LEVER, ASTM A216-WCB, FLEXIBLE GRAPHITE C/W CORROSION INHIBITOR / PTFE, NORMAL SERVICE, TOP/SIDE ENTRY/SPLIT BODY, BF-01A20"
1509113,541475,"BF-01A20 4-1/2""",Valve,BALL,"VALVE,BALL, 4-1/2"", CL 150, FULL, -29 TO 200DEG C (-20DEG F TO 392DEG F), RF FLANGES, LEVER, ASTM A216-WCB, FLEXIBLE GRAPHITE C/W CORROSION INHIBITOR / PTFE, NORMAL SERVICE, TOP/SIDE ENTRY/SPLIT BODY, BF-01A20"
1509113,541476,"BF-01A20 5""",Valve,BALL,"VALVE,BALL, 5"", CL 150, FULL, -29 TO 200DEG C (-20DEG F TO 392DEG F), RF FLANGES, LEVER, ASTM A216-WCB, FLEXIBLE GRAPHITE C/W CORROSION INHIBITOR / PTFE, NORMAL SERVICE, TOP/SIDE ENTRY/SPLIT BODY, BF-01A20"
